Row type,Action,Campaign,Ad group,Callout text
Callout extension,Add,Search | ADHS-Therapie | München | Leads,,60 Minuten für 69 €
Callout extension,Add,Search | ADHS-Therapie | München | Leads,,Privat- & Selbstzahler
Callout extension,Add,Search | ADHS-Therapie | München | Leads,,München-Schwabing
Callout extension,Add,Search | ADHS-Therapie | München | Leads,,Zeitnahe Erstgespräche
Callout extension,Add,Search | ADHS-Therapie | München | Leads,,Individueller Behandlungsplan
Callout extension,Add,Search | ADHS-Therapie | München | Leads,,KVT-orientierte Begleitung
Callout extension,Add,Search | Psychotherapie | München | Leads,,60 Minuten für 69 €
Callout extension,Add,Search | Psychotherapie | München | Leads,,Privat- & Selbstzahler
Callout extension,Add,Search | Psychotherapie | München | Leads,,München-Schwabing
Callout extension,Add,Search | Psychotherapie | München | Leads,,Zeitnahe Erstgespräche
Callout extension,Add,Search | Psychotherapie | München | Leads,,Individueller Behandlungsplan
Callout extension,Add,Search | Psychotherapie | München | Leads,,KVT-orientierte Begleitung
