Action,Keyword status,Customer ID,Campaign,Ad group,Keyword,Match Type,Final URL
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,adhs therapie münchen,Exact match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,adhs therapie münchen,Phrase match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,adhs therapie erwachsene,Exact match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,adhs therapie erwachsene,Phrase match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,therapie adhs erwachsene,Exact match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,therapie adhs erwachsene,Phrase match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,adhs hilfe münchen,Exact match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Therapie München,adhs hilfe erwachsene,Phrase match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Psychotherapie,adhs psychotherapie münchen,Exact match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Psychotherapie,adhs psychotherapie münchen,Phrase match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
Add,Paused,413-003-0542,Search | ADHS-Therapie | München | Leads,ADHS-Psychotherapie,psychotherapie adhs erwachsene,Exact match,https://neurofeedback-praxis-muenchen.de/adhs-therapie-muenchen
